filename,wordcount
BD1-00452,28
BD1-00453,10
BD1-00454,125
BD1-00455,69
BD1-00456,25
BD1-00457,40
BD1-00458,34
BD1-00459,29
BD1-00460,26
BD1-00461,33
BD1-00462,96
BD1-00463,92
BD1-00464,29
BD1-00465,55
BD1-00466,40
BD1-00467,127
BD1-00468,39
BD1-00469,32
BD1-00470,78
BD1-00471,68
BD1-00472,65
BD1-00473,44
BD1-00474,18
BD1-00475,37
BD1-00476,89
BD1-00477,44
BD1-00478,24
BD1-00479,40
BD1-00480,32
BD1-00481,148
BD1-00482,37
BD1-00483,59
BD1-00484,38
BD1-00485,24
BD1-00486,125
BD1-00487,94
BD1-00488,74
BD1-00489,95
BD1-00490,41
BD1-00491,35
BD1-00492,49
BD1-00493,47
BD1-00494,104
BD1-00495,44
BD1-00496,39
BD1-00497,70
BD1-00498,77
BD1-00499,154
BD1-00500,25
BD1-00501,41
BD1-00502,65
BD1-00503,34
BD1-00504,43
BD1-00505,65
BD1-00506,83
BD1-00507,48
BD1-00508,38
BD1-00509,51
BD1-00510,99
BD1-00511,64
BD1-00512,34
BD1-00027,33
BD1-00028,63
BD1-00029,37
BD1-00030,47
BD1-00031,19
BD1-00032,88
BD1-00001,110
BD1-00002,86
BD1-00003,55
BD1-00004,92
BD1-00005,135
BD1-00006,138
BD1-00007,76
BD1-00008,71
BD1-00018,48
BD1-00019,82
BD1-00020,16
BD1-00021,64
BD1-00022,104
BD1-00023,48
BD1-00024,91
BD1-00025,85
BD1-00026,60
BD1-00009,50
BD1-00010,31
BD1-00011,42
BD1-00012,191
BD1-00013,63
BD1-00014,103
BD1-00015,100
BD1-00016,114
BD1-00017,45
BD1-00000,260
BD1-00082,198
BD1-00083,223
BD1-00084,309
BD1-00085,235
BD1-00086,169
BD1-00087,252
BD1-00088,273
BD1-00090,228
BD1-00091,249
BD1-00092,211
BD1-00093,218
BD1-00094,246
BD1-00095,222
BD1-00096,197
BD1-00097,209
BD1-00098,158
BD1-00099,266
BD1-00100,232
BD1-00101,212
BD1-00000,0
BD1-00141,55
BD1-00142,34
BD1-00143,39
BD1-00144,40
BD1-00145,17
BD1-00146,102
BD1-00147,59
BD1-00148,39
BD1-00149,50
BD1-00150,33
BD1-00151,51
BD1-00152,73
BD1-00153,41
BD1-00154,54
BD1-00155,50
BD1-00156,55
BD1-00157,26
BD1-00158,56
BD1-00159,41
BD1-00160,83
BD1-00161,48
BD1-00162,52
BD1-00163,39
BD1-00164,32
BD1-00165,36
BD1-00166,35
BD1-00167,40
BD1-00168,58
BD1-00169,126
BD1-00550,30
BD1-00551,119
BD1-00552,119
BD1-00553,50
BD1-00554,54
BD1-00555,54
BD1-00556,32
BD1-00557,226
BD1-00558,193
BD1-00559,307
BD1-00560,270
BD1-00561,117
BD1-00562,71
BD1-00563,72
BD1-00564,72
BD1-00565,87
BD1-00566,70
BD1-00567,179
BD1-00568,156
BD1-00569,163
BD1-00570,186
BD1-00571,182
BD1-00572,182
BD1-00573,173
BD1-00574,199
BD1-00575,217
BD1-00576,202
BD1-00577,113
BD1-00578,579
BD1-00579,371
BD1-00539,64
BD1-00540,21
BD1-00541,39
BD1-00542,22
BD1-00543,33
BD1-00544,41
BD1-00545,32
BD1-00546,49
BD1-00547,73
BD1-00548,26
BD1-00549,23
BD1-00102,101
BD1-00103,115
BD1-00104,106
BD1-00105,288
BD1-00106,224
BD1-00107,34
BD1-00108,0
BD1-00513,33
BD1-00514,95
BD1-00515,125
BD1-00516,20
BD1-00517,43
BD1-00000,32
BD1-00000,48
BD1-00000,101
BD1-00126,74
BD1-00127,126
BD1-00128,60
BD1-00129,62
BD1-00130,118
BD1-00131,28
BD1-00132,32
BD1-00133,50
BD1-00134,37
BD1-00135,38
BD1-00136,56
BD1-00137,38
BD1-00138,33
BD1-00139,42
BD1-00528,52
BD1-00529,68
BD1-00530,68
BD1-00531,106
BD1-00532,48
BD1-00533,116
BD1-00534,141
BD1-00535,102
BD1-00536,104
BD1-00537,66
BD1-00538,63
BD1-00109,26
BD1-00110,65
BD1-00111,55
BD1-00112,131
BD1-00113,66
BD1-00114,54
BD1-00115,72
BD1-00116,100
BD1-00117,44
BD1-00118,44
BD1-00119,78
BD1-00120,92
BD1-00121,119
BD1-00122,26
BD1-00123,48
BD1-00124,34
BD1-00125,53
BD1-00518,307
BD1-00519,94
BD1-00520,45
BD1-00521,287
BD1-00522,123
BD1-00523,41
BD1-00524,54
BD1-00525,223
BD1-00526,100
BD1-00527,65
